prompt,evaluation_seed
A detailed portrait of an English Springer Spaniel sitting in a field.,12
An English Springer Spaniel running joyfully on the beach.,346
A close-up shot of an English Springer Spaniel with expressive eyes.,27
An English Springer Spaniel playing with a ball in a park.,905
An English Springer Spaniel lying on a cozy blanket indoors.,213
A group of English Springer Spaniels running in a meadow.,122
An English Springer Spaniel standing in a forest with autumn leaves around.,821
An English Springer Spaniel looking up at the camera with a happy expression.,265
A realistic painting of an English Springer Spaniel in a snowy landscape.,688
An English Springer Spaniel sleeping peacefully by a fireplace.,99
An English Springer Spaniel wearing a cute hat and scarf.,239
An English Springer Spaniel jumping over a log in the forest.,734
A vintage-style photograph of an English Springer Spaniel.,518
An English Springer Spaniel in a sunflower field during golden hour.,758
A playful English Springer Spaniel digging in the sand at the beach.,909
"An English Springer Spaniel standing by a lake, reflecting in the water.",349
An English Springer Spaniel with its tongue out on a sunny day.,912
An English Springer Spaniel sitting in a flower garden.,300
An English Springer Spaniel in a raincoat on a rainy day.,207
An English Springer Spaniel in a lush green field with mountains in the background.,813
A sleepy English Springer Spaniel curled up in a basket.,202
An English Springer Spaniel with its ears blowing in the wind.,554
A painting of an English Springer Spaniel in a rustic barn setting.,781
An English Springer Spaniel playing with butterflies in a field.,550
An English Springer Spaniel in a wildflower meadow at sunset.,29
An English Springer Spaniel catching a frisbee mid-air.,33
An English Springer Spaniel sitting next to a pumpkin in an autumn scene.,886
A black and white photo of an English Springer Spaniel.,644
An English Springer Spaniel walking on a trail in the woods.,270
An English Springer Spaniel drinking from a small stream.,425
An English Springer Spaniel with a bandana around its neck.,59
An English Springer Spaniel resting in a field of tall grass.,737
An English Springer Spaniel in a snowy forest landscape.,10
A watercolor painting of an English Springer Spaniel with flowers.,969
An English Springer Spaniel exploring a farmyard.,771
An English Springer Spaniel looking out a window.,370
An English Springer Spaniel standing in a foggy meadow.,73
An English Springer Spaniel running through autumn leaves.,199
An English Springer Spaniel lying on a picnic blanket in a park.,651
An English Springer Spaniel with a butterfly on its nose.,440
An English Springer Spaniel swimming in a lake.,668
An English Springer Spaniel walking on a sandy path at sunset.,788
An English Springer Spaniel lying on a soft carpet indoors.,250
An English Springer Spaniel standing on a hill with the wind blowing.,501
A stylized digital art of an English Springer Spaniel in a magical forest.,192
An English Springer Spaniel lying next to a pile of books.,719
An English Springer Spaniel in a Christmas-themed setting.,167
An English Springer Spaniel gazing up at the stars.,430
A cartoon-style English Springer Spaniel with a playful expression.,690
An English Springer Spaniel lying on the grass under a big tree.,82
